CNPJ,FIRM_NAME,CVM_FIRM_TYPE,CVM_CODE,CVM_STATUS
22.957.963/0001-10,AGROLANDIA ACAILANDIA IND SA,CIAS INCENTIVADAS REGISTRADAS,501395,Cancelado em 14/02/2012
07.481.559/0001-20,AGROLUPE-AGROPEC GUADALUPE SA,CIAS INCENTIVADAS REGISTRADAS,501786,Cancelado em 14/02/2012
05.753.116/0001-15,AGROLUSA-AGROINDL LUSITANA SA,CIAS INCENTIVADAS REGISTRADAS,500496,Cancelado em 05/03/1997
06.272.470/0001-90,AGROMA EMPREEND RURAIS SA,CIAS INCENTIVADAS REGISTRADAS,506036,Cancelado em 14/02/2012
06.777.965/0001-71,AGROMALTA AGROP MARANHENSE SA,CIAS INCENTIVADAS REGISTRADAS,503681,Cancelado em 30/09/2011
01.355.296/0001-26,AGROMON SA AGRICULTURA E PEC,CIAS INCENTIVADAS REGISTRADAS,509329,Cancelado em 14/02/2012
06.040.547/0001-05,AGROMOSA AGROP M F OLIVEIRA SA,CIAS INCENTIVADAS REGISTRADAS,503800,Cancelado em 14/02/2012
07.025.125/0001-15,AGROMUNDO AGROPEC RAIM VIA SA,CIAS INCENTIVADAS REGISTRADAS,505846,Cancelado em 28/09/2008
00.319.137/0001-03,AGRON AGROINDL SA,CIAS INCENTIVADAS REGISTRADAS,507164,Cancelado em 14/02/2012
04.794.962/0001-10,AGRONESA-AGROPEC NOVA ESPERANÇA,CIAS INCENTIVADAS REGISTRADAS,507105,Cancelado em 10/01/2012
21.444.765/0001-90,AGRONORTE SA,CIAS ABERTAS,000221,Cancelado em 20/12/2005
06.454.276/0001-26,AGRONOSA AGROPEC NORTE SA,CIAS INCENTIVADAS REGISTRADAS,519111,Cancelado em 05/07/2011
04.102.265/0001-51,AGROPALMA SA,CIAS INCENTIVADAS REGISTRADAS,501166,Cancelado em 14/02/2012
34.130.039/0001-45,AGROPARANÁ S/A,CIAS INCENTIVADAS REGISTRADAS,515078,Cancelado em 14/02/2012
13.632.344/0001-65,AGROPASA AGR MED PARAGUASSU SA,CIAS INCENTIVADAS REGISTRADAS,512257,Cancelado em 14/02/2012
