Nome;Classe;Código;CNPJ;Nome;Tipo de Ativo;ISIN;Setor Econômico|Bovespa;Subsetor Bovespa;Segmento Bovespa
Anemus Wind Holding SA;ON;26832 ON;38482780000126;Anemus Wind Holding SA;Ação;-;-;-;-
Anglo Brazil;ON;IRON3;9295979000147;Anglo Brazil;Ação;-;-;-;-
Anhanguera;ON;AEDU3;4310392000146;Anhanguera;Ação;BRAEDUACNOR9;-;-;-
Anhanguera;PN;AEDU4;4310392000146;Anhanguera;Ação;-;-;-;-
Anhanguera;UNT N2;AEDU11;4310392000146;Anhanguera;Ação;-;-;-;-
Anima;ON;ANIM3;9288252000132;Anima;Ação;BRANIMACNOR6;Consumo cíclico;Diversos;Serviços educacionais
Antarct Nordeste;ON;IBAN3;-;Antarct Nordeste;Ação;-;-;-;-
Antarct Nordeste;PNA;IBAN5;-;Antarct Nordeste;Ação;-;-;-;-
Antarctica MG;PNA;ITLM5;23536691000148;Antarctica MG;Ação;-;-;-;-
Antarctica Paulista;ON;ANTA3;60522000000183;Antarctica Paulista;Ação;-;-;-;-
Antarctica Paulista;PN;ANTA4;60522000000183;Antarctica Paulista;Ação;-;-;-;-
Antarctica Pb;ON;ANPB3;9259821000111;Antarctica Pb;Ação;-;-;-;-
Antarctica Pb;PNA;ANPB5;9259821000111;Antarctica Pb;Ação;-;-;-;-
Antarctica Pi;PNA;IBPI5;5234760000187;Antarctica Pi;Ação;-;-;-;-
Antarctica Pi;PNB;IBPI6;5234760000187;Antarctica Pi;Ação;-;-;-;-
Apice Securitizadora Imob S/A;ON;22276 ON;12130744000100;Apice Securitizadora Imob S/A;Ação;-;-;-;-
Aquatec;PN;AQT4;-;Aquatec;Ação;-;-;-;-
Aquilla Securitizadora S/A;ON;21512 ON;9439783000189;Aquilla Securitizadora S/A;Ação;-;-;-;-
Ar Capital Securities Cia Securitizadora S/A;ON;22950 ON;15914972000169;Ar Capital Securities Cia Securitizadora S/A;Ação;-;-;-;-
Aracruz;ON;ARCZ3;42157511000161;Aracruz;Ação;-;-;-;-
Aracruz;PNA;ARCZ5;42157511000161;Aracruz;Ação;-;-;-;-
Aracruz;PNB;ARCZ6;42157511000161;Aracruz;Ação;-;-;-;-
Araucaria;ON;VDNP3B;3616277000131;Araucaria;Ação;BRVDNPACNOR6;-;-;-
Arcelor BR;ON;ARCE3;24315012000173;Arcelor BR;Ação;-;-;-;-
Arcelor BR;PN;ARCE4;24315012000173;Arcelor BR;Ação;-;-;-;-
Arezzo Co;ON;ARZZ3;16590234000176;Arezzo Co;Ação;BRARZZACNOR3;Consumo cíclico;Comércio;Tecidos vestuário e calçados
Argo Energia Empreend e Part S/A;ON;24120 ON;24624551000194;Argo Energia Empreend e Part S/A;Ação;-;-;-;-
Argo Energia Empreend e Part S/A;PN;24120 PN;24624551000194;Argo Energia Empreend e Part S/A;Ação;-;-;-;-
Argo Transmissão de Energia S/A;ON;24210 ON;24624490000165;Argo Transmissão de Energia S/A;Ação;-;-;-;-
Armac;ON;ARML3;242184000104;Armac;Ação;BRARMLACNOR1;Bens industriais;Máquinas e equipamentos;Máq. e equip. industriais
Arno;PN;ARNO4;61064978000101;Arno;Ação;-;-;-;-
Arteb;ON;ATBS3;62291380000118;Arteb;Ação;-;-;-;-
Arteris;ON;ARTR3;2919555000167;Arteris;Ação;BRARTRACNOR3;Bens industriais;Transporte;Exploração de rodovias
Arthur Lange;ON;ARLA3;92189356000133;Arthur Lange;Ação;-;-;-;-
Arthur Lange;PN;ARLA4;92189356000133;Arthur Lange;Ação;-;-;-;-
Asa Branca Holding S/A;ON;26514 ON;9359927000197;Asa Branca Holding S/A;Ação;-;-;-;-
Assai;ON;ASAI3;6057223000171;Assai;Ação;BRASAIACNOR0;Consumo não cíclico;Comércio e distribuição;Alimentos
Athena Saúde Brasil S/A;ON;25810 ON;31701408000114;Athena Saúde Brasil S/A;Ação;-;-;-;-
Atletas Brasileiros S/A;ON;22934 ON;12610165000164;Atletas Brasileiros S/A;Ação;-;-;-;-
Atmasa;ON;ATMP3;4032433000180;Atmasa;Ação;BRATMPACNOR8;Bens industriais;Serviços diversos;Serviços diversos
Atmasa;PN;CTAX4;4032433000180;Atmasa;Ação;BRCTAXACNPR0;Bens industriais;Serviços diversos;Serviços diversos
Atmasa;UNT N2;CTAX11;4032433000180;Atmasa;Ação;BRCTAXCDAM19;Bens industriais;Serviços diversos;Serviços diversos
Atompar;ON;ATOM3;359742000108;Atompar;Ação;BRATOMACNOR1;Outros;Outros;Outros
Aura 360;ON;AURA33;7857093000114;Aura 360;Ação;BRAURABDR001;Materiais básicos;Mineração;Minerais metálicos
Aura Almas Mineração S/A;ON;26590 ON;8213823000107;Aura Almas Mineração S/A;Ação;-;-;-;-
Auren;ON;AURE3;28594234000123;Auren;Ação;BRAUREACNOR9;Utilidade pública;Energia elétrica;Energia elétrica
Autoban - Conc do Sist Anhanguera Bandeirantes S/A;ON;20192 ON;2451848000162;Autoban - Conc do Sist Anhanguera Bandeirantes S/A;Ação;-;-;-;-
Autometal;ON;AUTM3;59104513000195;Autometal;Ação;BRAUTMACNOR8;-;-;-
Autopista Fernao Dias S/A;ON;21989 ON;9326342000170;Autopista Fernao Dias S/A;Ação;-;-;-;-
Autopista Fluminense S/A;ON;22004 ON;9324949000111;Autopista Fluminense S/A;Ação;-;-;-;-
Autopista Litoral Sul;ON;21997 ON;9313969000197;Autopista Litoral Sul;Ação;-;-;-;-
Autopista Planalto Sul S/A;ON;21970 ON;9325109000173;Autopista Planalto Sul S/A;Ação;-;-;-;-
Autopista Regis Bittencourt S/A;ON;21962 ON;9336431000106;Autopista Regis Bittencourt S/A;Ação;-;-;-;-
Autovias SA;ON;21822 ON;2679185000138;Autovias SA;Ação;-;-;-;-
Aval Securitizadora de Crédito S/A;ON;23973 ON;15011696000129;Aval Securitizadora de Crédito S/A;Ação;-;-;-;-
Azevedo;ON;AZEV3;61351532000168;Azevedo;Ação;BRAZEVACNOR0;Bens industriais;Construção e engenharia;Construção pesada
Azevedo;PN;AZEV4;61351532000168;Azevedo;Ação;BRAZEVACNPR7;Bens industriais;Construção e engenharia;Construção pesada
Azul;PN;AZUL4;9305994000129;Azul;Ação;BRAZULACNPR4;Bens industriais;Transporte;Transporte aéreo
B Tech Eqi;ON;BLUT3;60637238000154;B Tech Eqi;Ação;BRBLUTACNOR8;Outros;Outros;Outros
B Tech Eqi;PN;BLUT4;60637238000154;B Tech Eqi;Ação;BRBLUTACNPR5;Outros;Outros;Outros
B3;ON;B3SA3;9346601000125;B3;Ação;BRB3SAACNOR6;Financeiro;Serviços financeiros diversos;Serviços financeiros diversos
Baesa Energ Barra Grande SA;ON;19607 ON;4781143000139;Baesa Energ Barra Grande SA;Ação;-;-;-;-
Bahema;ON;BAHI3;45987245000192;Bahema;Ação;BRBAHIACNOR1;Consumo cíclico;Diversos;Serviços educacionais
Bahema;PN;BAHI4;45987245000192;Bahema;Ação;-;Consumo cíclico;Diversos;Serviços educacionais
Bahema Equipament;PN;BHEQ4;96832365000151;Bahema Equipament;Ação;-;-;-;-
Bahia Sul;PNA;BSUL5;-;Bahia Sul;Ação;-;-;-;-
Ban Armazens;ON;CBAG3;58128174000114;Ban Armazens;Ação;-;-;-;-
Banco Agibank S/A;ON;024465 ON;10664513000150;Banco Agibank S/A;Ação;-;-;-;-
Banco Agibank S/A;PN;024465 PN;10664513000150;Banco Agibank S/A;Ação;-;-;-;-
Banco Bec;ON;BECE3;7196934000190;Banco Bec;Ação;-;-;-;-
Banco Bec;PN;BECE4;7196934000190;Banco Bec;Ação;-;-;-;-
Banco BMG;ON;24600 ON;61186680000174;Banco BMG;Ação;-;Financeiro;Intermediários financeiros;Bancos
Banco BMG;PN;BMGB4;61186680000174;Banco BMG;Ação;BRBMGBACNPR0;Financeiro;Intermediários financeiros;Bancos
Banco BMG;UNT;BMGB11;61186680000174;Banco BMG;Ação;BRBMGBCDAM17;Financeiro;Intermediários financeiros;Bancos
Banco Industrial do Brasil S/A;ON;21377 ON;31895683000116;Banco Industrial do Brasil S/A;Ação;-;-;-;-
Banco Industrial do Brasil S/A;PN;21377 PN;31895683000116;Banco Industrial do Brasil S/A;Ação;-;-;-;-
Banco Inter;ON;BIDI3;416968000101;Banco Inter;Ação;BRBIDIACNOR3;Financeiro;Intermediários financeiros;Bancos
Banco Inter;PN;BIDI4;416968000101;Banco Inter;Ação;BRBIDIACNPR0;Financeiro;Intermediários financeiros;Bancos
Banco Inter;UNT;BIDI11;416968000101;Banco Inter;Ação;BRBIDICDAXX3;Financeiro;Intermediários financeiros;Bancos
Banco Pan;PN;BPAN4;59285411000113;Banco Pan;Ação;BRBPANACNPR1;Financeiro;Intermediários financeiros;Bancos
Banco Rci Brasil S/A;ON;21466 ON;62307848000115;Banco Rci Brasil S/A;Ação;-;-;-;-
Banco Rci Brasil S/A;PN;21466 PN;62307848000115;Banco Rci Brasil S/A;Ação;-;-;-;-
Bandeirante Energ;ON;EBEN3;2302100000106;Bandeirante Energ;Ação;-;-;-;-
Bandeirante Energ;PN;EBEN4;2302100000106;Bandeirante Energ;Ação;-;-;-;-
Bandeirantes;PN;BBCM4;61071387000161;Bandeirantes;Ação;-;-;-;-
Banese;ON;BGIP3;13009717000146;Banese;Ação;BRBGIPACNOR1;Financeiro;Intermediários financeiros;Bancos
Banese;PN;BGIP4;13009717000146;Banese;Ação;BRBGIPACNPR8;Financeiro;Intermediários financeiros;Bancos
